model,n_features_full,macro_f1_full,std_f1_full,n_features_rfe,macro_f1_rfe,std_f1_rfe,delta_f1
lightgbm,520,0.7457291647291647,0.039516010603787774,170,0.7679729934668016,0.04233287945371645,0.02224382873763686
random_forest,520,0.7126889764028983,0.06603533104620858,170,0.7115642554020163,0.06439059582431196,-0.0011247210008820119
