detector,precision,recall,f1,auc_roc,threshold,threshold_p95_train
isolation_forest,0.5480225988700564,0.8290598290598291,0.6598639455782312,0.5147853423715493,,
one_class_svm,0.5876288659793815,0.9743589743589743,0.7331189710610932,0.6945672462913842,,
autoencoder,0.8181818181818182,0.07692307692307693,0.140625,0.6959426269771097,383.0069597848834,1.0403209205009647
