stage,model,target,accuracy,balanced_accuracy,macro_f1,mae,qwk,precision,recall,f1,auc_roc,threshold
ordinal,random_forest,flavonol_4cls,0.696078431372549,0.3756525929610745,0.3632833177639503,0.3137254901960784,0.501665731125456,,,,,
ordinal,lightgbm,flavonol_4cls,0.6225490196078431,0.3359452597106496,0.3307802072902195,0.4264705882352941,0.3141534934994114,,,,,
ordinal,ordinal_logistic,flavonol_4cls,0.6470588235294117,0.3801162050443856,0.3825190594483212,0.3774509803921568,0.411481193416177,,,,,
ordinal,random_forest,flavonol_3cls,0.6910975609756097,0.5158792405851229,0.5061294168741592,0.313780487804878,0.5076023096223269,,,,,
ordinal,lightgbm,flavonol_3cls,0.656829268292683,0.4925863678804855,0.4895905489206804,0.3529268292682926,0.4685483125873119,,,,,
ordinal,ordinal_logistic,flavonol_3cls,0.656829268292683,0.5627513227513228,0.5605946036380819,0.3480487804878048,0.5015635075445672,,,,,
anomaly,isolation_forest,flavonol_pheur,,,,,,0.5480225988700564,0.8290598290598291,0.6598639455782312,0.5147853423715493,
anomaly,one_class_svm,flavonol_pheur,,,,,,0.5876288659793815,0.9743589743589745,0.7331189710610932,0.6945672462913842,
anomaly,autoencoder,flavonol_pheur,,,,,,0.8181818181818182,0.0769230769230769,0.140625,0.6959426269771097,383.0069597848834
