model,n_features_full,R2_full,RMSE_full,RPD_full,n_features_ga,R2_ga,RMSE_ga,RPD_ga,delta_R2,delta_RMSE,delta_RPD
ridge,520,0.32521122160340543,0.47177566606125254,1.2173517211974225,151,0.14770187804472412,0.5302093429945021,1.0831889831573214,-0.1775093435586813,0.05843367693324952,-0.13416273804010115
rf,520,0.36523390075498763,0.4575709799095568,1.2551427960143917,151,0.3558119380814929,0.4609543807183434,1.24593005972461,-0.00942196267349471,0.003383400808786574,-0.009212736289781809
lightgbm,520,0.34615353708421104,0.46439710092776876,1.2366935925124436,151,0.34812389231486074,0.46369684658346194,1.2385611921459412,0.0019703552306497008,-0.0007002543443068165,0.0018675996334975853
pls,520,0.24113697939928558,0.5003032287620848,1.1479376627645912,151,0.6428737443765129,0.3432120290100716,1.6733589459414688,0.4017367649772273,-0.1570911997520132,0.5254212831768776
elasticnet,520,0.3281717182924043,0.4707396192014545,1.2200309803389322,151,0.30604779877150745,0.47842778034894484,1.200425524370353,-0.022123919520896873,0.007688161147490324,-0.01960545596857921
svr,520,0.3875326901732252,0.4494620903459288,1.2777872293004795,151,0.404225522258875,0.4432947193447609,1.2955645398790916,0.016692832085649756,-0.006167371001167932,0.017777310578612093
xgboost,520,0.37395998480007586,0.45441499838908855,1.2638599543032087,151,0.3852026229639466,0.4503162442643361,1.27536353932105,0.011242638163870722,-0.004098754124752468,0.011503585017841322
