gen,max_r2,avg_r2,min_r2,std_r2,avg_n_features,std_n_features
0,0.37374140916907067,0.2551468987619659,0.043476947482782746,0.059835521013443714,259.87333333333333,11.651206899811804
1,0.3819509233590222,0.304719304618363,0.18162562801115406,0.042237602091632236,257.62,10.878523184084624
2,0.39525901231568367,0.3346192649581994,0.16103171681299994,0.035932349864777974,258.8066666666667,8.96266081523165
3,0.4416066983905056,0.3599829217629123,0.2812760819435198,0.02610000372230812,257.3333333333333,9.168545262047967
4,0.4416066983905056,0.37765786010986424,0.301664236578039,0.02509074263962182,256.0933333333333,10.483222574931602
5,0.4439526518615747,0.396198474311781,0.3479970352972301,0.020667135592584547,255.01333333333332,10.33633504788918
6,0.4642127902531722,0.41135903503206583,0.3432056457691755,0.01899338563506918,254.66666666666666,10.89811400605118
7,0.4642127902531722,0.4257140738634008,0.3410892765175722,0.01691049859604178,254.54,12.26845820250722
8,0.47057739179404245,0.43408394417368046,0.38604468293347705,0.01512811986653922,253.04666666666665,11.191864108459423
9,0.4727307266944578,0.4433161908784983,0.40514585874759784,0.012928440577431406,254.32666666666665,10.645497744221368
10,0.4835960710053861,0.4506322380595266,0.418769631627635,0.01351062994093876,252.91333333333333,10.596185896611834
11,0.49672862436542803,0.45998850257757323,0.4042434955907561,0.012851123356822713,250.7,10.327794214319596
12,0.49986556738921745,0.4679824234132093,0.4155157257026058,0.012278601242691218,249.93333333333334,10.79608982713443
13,0.505233626939933,0.4756295441833138,0.41011430812402844,0.013385036186373612,251.36,8.621121350110629
14,0.5078122311571437,0.48343968346082866,0.44964257986586664,0.011018838337131652,251.16666666666666,7.326132828595331
15,0.5119006027144369,0.4902895488437976,0.44574636686992,0.010615670379606654,250.23333333333332,7.61876338755546
16,0.5337972142365794,0.4973963510492856,0.47022568511553997,0.009885841607052887,250.69333333333333,7.691507582320184
17,0.5337972142365794,0.5025390780520463,0.4737916409503091,0.010806896891414635,252.0,9.05023019965054
18,0.5377720510403495,0.5098687181620011,0.48238776347984763,0.010151554836596442,251.13333333333333,9.894555180614347
19,0.5391266854924804,0.515530768517983,0.4875370491368911,0.009401470434094937,250.14666666666668,9.651519166546903
20,0.5420689624407754,0.5208160793510533,0.4925629021133505,0.008872582507561776,250.22,9.002125674898494
21,0.5430628842475438,0.5274792983201229,0.5080659800056277,0.008158408890620429,249.58,7.382203826319979
22,0.546482090258333,0.5330849500326116,0.5110472638408747,0.007452547310006364,248.68,7.384054893259304
23,0.5531856229307691,0.5377869024291009,0.5151322244364053,0.005881734727826814,247.06666666666666,8.158975970603718
24,0.5553925477787057,0.5417840077649083,0.5201895898155193,0.005692054821863391,244.10666666666665,7.436080209955302
25,0.5555059926513609,0.5453227222156507,0.5202709911504241,0.005561683911497325,241.66666666666666,7.128035415799285
26,0.5613361249002002,0.5486841412646983,0.5250325644547946,0.005677997246218511,239.84666666666666,6.7742027001132925
27,0.5619721733849437,0.5525205034205404,0.5327842517603909,0.004686568735752174,238.20666666666668,6.916932525011036
28,0.5641954959686425,0.5553053101271263,0.5422407154543085,0.004182737657115798,236.07333333333332,6.75188533341285
29,0.5676627717497568,0.5575317387374972,0.5192051814794029,0.004944432462945618,234.42,6.437670386094648
30,0.5679659749460504,0.5593913455623338,0.5413754129748155,0.004574166479695597,233.54666666666665,5.828192020019778
31,0.5679659749460504,0.5620200333423196,0.5426719007136259,0.003936694477899775,233.18666666666667,5.177369559492113
32,0.574101598154745,0.5639272344100174,0.5387250677622792,0.0043656701735301055,232.33333333333334,4.796758164519959
33,0.5749635329252724,0.5653613457902713,0.5292511138101695,0.005462828933219467,231.13333333333333,5.934831271588286
34,0.575766851231773,0.5679096221720678,0.5498252129281597,0.004307532575786792,228.78666666666666,5.698639213785068
35,0.5767499245116489,0.5700747068179913,0.54853988751809,0.004159572143028699,227.44666666666666,6.6488461822752045
36,0.5782124597289061,0.5716173079288971,0.5407626440800686,0.0043809469123269945,225.23333333333332,6.0370154509952645
37,0.57845258140035,0.5726399301967998,0.5421774444541252,0.005325694212925319,223.70666666666668,6.461730074488996
38,0.5816550256653981,0.5748160236073105,0.5509281977595748,0.00411332870345684,222.16666666666666,5.9670390945221365
39,0.5816550256653981,0.5768147183987847,0.5536146915889406,0.0032565566804430507,220.72666666666666,6.226713061925654
40,0.5841105920494822,0.5783828027884852,0.5618867336833427,0.0030854654325549124,219.26,5.934565415147655
41,0.5847788936472489,0.58001780260271,0.5667742876010359,0.002667049422361341,216.66,5.947357956829795
42,0.5864740786486464,0.5814007046687969,0.5629005075651121,0.0026924145297916365,215.02,4.807591219450062
43,0.5881685745511755,0.5823475231749603,0.5467899189276284,0.0038308898243936984,213.75333333333333,4.5810285113959095
44,0.5889408243751288,0.5841027475909254,0.5742354682583268,0.002235171145209306,212.40666666666667,4.0777390249445284
45,0.5898719014678211,0.5849362957207773,0.5544882343176143,0.004365324431022027,210.78666666666666,4.07363337683804
46,0.5898852929422335,0.586585091975601,0.5702778067413534,0.0023531308314277176,209.17333333333335,4.137223975351373
47,0.5913532628808773,0.5876955514728128,0.5800848369583724,0.0018424076002429405,207.74666666666667,4.184394287773985
48,0.592655930615554,0.5883884846170605,0.578333357549481,0.002265244445801818,206.72,4.082678859115258
49,0.5930664815739807,0.5895875341254839,0.578862815392101,0.0018449795253560287,205.43333333333334,3.8891587207975395
50,0.5936495823335022,0.5902077692376347,0.5786660343083233,0.0019284358858098133,204.29333333333332,3.5861709694634225
51,0.593816571683158,0.5905754296989271,0.5595566748050469,0.003415476618445771,204.28,4.06139549087913
52,0.5939520991348328,0.591635948193019,0.5704732381913589,0.0021650713235145105,203.53333333333333,3.86033965114758
53,0.5945616066552153,0.5921440019294588,0.5720892784425587,0.0023370991932816464,202.52,3.6836937983496947
54,0.5945616066552153,0.5926536582100183,0.5749832652643935,0.002482803988158019,201.3,3.306055050963308
55,0.5949474396767946,0.5926528322915872,0.568163220749362,0.00372813760481795,201.08,3.275199739456104
56,0.5950668147852926,0.5937014869247891,0.5838819898114052,0.0013417051094101887,200.89333333333335,3.5593008052456345
57,0.5958183297181597,0.5939003951262002,0.5737760963991917,0.0022389856747137716,201.27333333333334,3.7396910151627347
58,0.5960546672363477,0.5944692750267714,0.5827064350023038,0.0015801935361528657,202.51333333333332,3.7161569157157803
59,0.5962265109320812,0.5946238772703892,0.5775875727246215,0.002240561312279524,201.08,3.6542577905779994
60,0.5966268540817797,0.5950575242646801,0.5827076610794746,0.0017703168887129956,200.87333333333333,3.6300535655674406
61,0.5966358869826063,0.5953681241215011,0.5860031154466914,0.0014718755272740247,199.63333333333333,3.44947661086271
62,0.5974513917371821,0.595702942416089,0.5831396197769099,0.001554135382271501,199.11333333333334,3.591725057530001
63,0.598933348749022,0.5958394362176446,0.568239074960932,0.0026163301533908764,198.39333333333335,3.10461305515232
64,0.5998265669784728,0.5962047014894752,0.5846263714295233,0.001929060207408513,197.89333333333335,3.037864747190405
65,0.5998265669784728,0.5967676840480232,0.5870109982700089,0.0013048333806599927,197.08,3.2914434523473135
66,0.600983559492995,0.5972707119279486,0.5864772690490783,0.0018048259816953233,196.27333333333334,3.089545094166597
67,0.6033566636618415,0.5977585160911365,0.5667572100757352,0.0035927428530842143,196.12666666666667,3.154460686428383
68,0.6033566636618415,0.5989353491923707,0.5682396020911193,0.0035536584234434183,195.88666666666666,2.8131516529014613
69,0.6060163875827589,0.5999541253773567,0.5843394599247688,0.00287504790440533,195.92,3.269087538340528
70,0.6063165173530309,0.6010389444140297,0.5856472742835317,0.002839644020755775,195.72,3.3667392731444665
71,0.6072351513532894,0.6018878410255227,0.5603992322359657,0.004608920417647166,194.31333333333333,2.658662988964357
72,0.6079266427091631,0.6032724645860276,0.5910140256148859,0.002900250918329889,193.82666666666665,2.617241974972042
73,0.6091717296321897,0.6044747254773288,0.5844577211846177,0.003690091491492934,193.12,2.734763853303121
74,0.610119628966995,0.6059230713378138,0.5861226373468531,0.0029312002353675372,192.66666666666666,2.7145697428669777
75,0.6107711734561544,0.6066131220758625,0.58768312186953,0.00292945555844338,192.32,2.6490753103677513
76,0.6118852989484613,0.6076776078115926,0.5845516255772498,0.002784533511174174,191.84666666666666,2.5079517982254407
77,0.6121511681460794,0.6083288774682863,0.5835720434739683,0.003969540776172529,191.50666666666666,2.6651995964446806
78,0.612357082712678,0.6094774656074935,0.5825829369324644,0.0030181034654629766,190.53333333333333,2.415689457599125
