group,code,experiment,model,task,target,metric,mean,std,n_features
INDEX,C5,ZTM çıkarıldı,random_forest,regression,flavonol,R2,0.3517,0.0629,516
INDEX,C5,ZTM çıkarıldı,random_forest,classification,stress,Macro_F1,0.7082,0.0475,516
INDEX,C6,SIPI çıkarıldı,pls,regression,flavonol,R2,0.2602,0.121,516
INDEX,C6,SIPI çıkarıldı,lightgbm,regression,flavonol,R2,0.3533,0.0772,516
INDEX,C6,SIPI çıkarıldı,lightgbm,classification,stress,Macro_F1,0.7653,0.0459,516
INDEX,C6,SIPI çıkarıldı,random_forest,regression,flavonol,R2,0.3525,0.071,516
INDEX,C6,SIPI çıkarıldı,random_forest,classification,stress,Macro_F1,0.7104,0.0746,516
INDEX,C7,FLAVI çıkarıldı,pls,regression,flavonol,R2,0.2611,0.1208,516
INDEX,C7,FLAVI çıkarıldı,lightgbm,regression,flavonol,R2,0.3568,0.0649,516
INDEX,C7,FLAVI çıkarıldı,lightgbm,classification,stress,Macro_F1,0.738,0.046,516
INDEX,C7,FLAVI çıkarıldı,random_forest,regression,flavonol,R2,0.3587,0.0634,516
INDEX,C7,FLAVI çıkarıldı,random_forest,classification,stress,Macro_F1,0.711,0.0433,516
CLS,D1,Resampling YOK,lightgbm,classification,stress,Macro_F1,0.7714,0.0396,520
CLS,D1,Resampling YOK,random_forest,classification,stress,Macro_F1,0.6845,0.0673,520
CLS,D2,Sadece SMOTE,lightgbm,classification,stress,Macro_F1,0.7575,0.0359,520
CLS,D2,Sadece SMOTE,random_forest,classification,stress,Macro_F1,0.6948,0.0493,520
CLS,D3,Class weight YOK,lightgbm,classification,stress,Macro_F1,0.7444,0.0365,520
CLS,D3,Class weight YOK,random_forest,classification,stress,Macro_F1,0.7011,0.0777,520
CLS,D4,Tam baseline (smote_tomek + balanced),lightgbm,classification,stress,Macro_F1,0.7444,0.0365,520
CLS,D4,Tam baseline (smote_tomek + balanced),random_forest,classification,stress,Macro_F1,0.7011,0.0777,520
TUNING,E1,HP yok (sklearn default),pls,regression,flavonol,R2,0.2608,0.121,520
TUNING,E1,HP yok (sklearn default),lightgbm,regression,flavonol,R2,0.3495,0.0722,520
TUNING,E1,HP yok (sklearn default),lightgbm,classification,stress,Macro_F1,0.7444,0.0365,520
TUNING,E1,HP yok (sklearn default),random_forest,regression,flavonol,R2,0.3524,0.0558,520
TUNING,E1,HP yok (sklearn default),random_forest,classification,stress,Macro_F1,0.7011,0.0777,520
TUNING,E2,Sadece coarse,pls,regression,flavonol,R2,0.3935,0.178,520
TUNING,E2,Sadece coarse,lightgbm,regression,flavonol,R2,0.3837,0.0507,520
TUNING,E2,Sadece coarse,lightgbm,classification,stress,Macro_F1,0.7787,0.0524,520
TUNING,E2,Sadece coarse,random_forest,regression,flavonol,R2,0.3593,0.0639,520
TUNING,E2,Sadece coarse,random_forest,classification,stress,Macro_F1,0.7323,0.0679,520
TUNING,E3,Coarse + fine,pls,regression,flavonol,R2,0.3935,0.178,520
TUNING,E3,Coarse + fine,lightgbm,regression,flavonol,R2,0.3902,0.0473,520
TUNING,E3,Coarse + fine,lightgbm,classification,stress,Macro_F1,0.7815,0.0458,520
TUNING,E3,Coarse + fine,random_forest,regression,flavonol,R2,0.3571,0.0635,520
TUNING,E3,Coarse + fine,random_forest,classification,stress,Macro_F1,0.7296,0.076,520
