model,n_features_full,R2_full,RMSE_full,RPD_full,n_features_ga,R2_ga,RMSE_ga,RPD_ga,delta_R2,delta_RMSE,delta_RPD
ridge,520,0.32521122160340543,0.47177566606125254,1.2173517211974225,254,0.33227386557999605,0.46930026330500474,1.2237728465229298,0.007062643976590621,-0.002475402756247802,0.006421125325507315
rf,520,0.36523390075498763,0.4575709799095568,1.2551427960143917,254,0.3712879089639731,0.45538373713878955,1.2611713424532962,0.006054008208985495,-0.0021872427707672615,0.006028546438904492
lightgbm,520,0.34615353708421104,0.46439710092776876,1.2366935925124436,254,0.5674207349510643,0.3777325928731892,1.5204325227278797,0.22126719786685323,-0.08666450805457954,0.28373893021543606
pls,520,0.24113697939928558,0.5003032287620848,1.1479376627645912,254,0.2588745475030497,0.49442164455273085,1.1615933999375594,0.017737568103764145,-0.005881584209353918,0.013655737172968196
elasticnet,520,0.3281717182924043,0.4707396192014545,1.2200309803389322,254,0.3205269479790229,0.4734103289343751,1.2131482648287104,-0.007644770313381399,0.0026707097329206064,-0.006882715510221793
svr,520,0.3875326901732252,0.4494620903459288,1.2777872293004795,254,0.3966381559047921,0.4461085344814935,1.2873928084927757,0.009105465731566897,-0.003353555864435309,0.00960557919229621
xgboost,520,0.37395998480007586,0.45441499838908855,1.2638599543032087,254,0.3941322055336488,0.4470339886586887,1.2847276351893193,0.020172220733572943,-0.007381009730399846,0.020867680886110573
