gen,max_r2,avg_r2,min_r2,std_r2,avg_n_features,std_n_features
0,0.42149777977104586,0.3293091655257481,0.2380098124293975,0.028868205194801967,259.87333333333333,11.651206899811804
1,0.42149777977104586,0.3511720873391829,0.25206122529238434,0.028035270458019738,256.68,10.214577818001095
2,0.4275162271296808,0.367964522569491,0.30236628755462636,0.02492032591845119,257.62666666666667,11.272117024863707
3,0.4339402557150184,0.3865430272744706,0.32195126404623287,0.023089031425258644,260.79333333333335,11.822744558218659
4,0.4475896456504517,0.3975580475811964,0.3386659456700519,0.02307658059532953,261.96666666666664,11.20500880063118
5,0.4535151750722113,0.40755587713630337,0.32622763606727495,0.02126405841166005,260.38666666666666,10.433782737925025
6,0.4535151750722113,0.4154050918598034,0.3560210493820602,0.019298143847444583,260.82,10.063180411778376
7,0.4568223998393954,0.42213815109935576,0.3706577595541886,0.017676576825196518,261.38,9.288465965917084
8,0.4763419205073888,0.4266283780123095,0.3755570350872965,0.018632462223011893,262.0,9.777525249264253
9,0.4763419205073888,0.436559361671674,0.38239626320873193,0.01785887794422593,261.2866666666667,9.276735536934435
10,0.4763419205073888,0.44244029955355285,0.3805509827050919,0.016852984820544807,262.8,8.767363723871998
11,0.4763419205073888,0.4504354036469956,0.4113184590058303,0.013989867728598112,261.99333333333334,8.903554845615817
12,0.4880652394870867,0.4595908799120007,0.42098219228107947,0.012228730892443775,260.1,7.0396496124925605
13,0.4880652394870867,0.4610555021132694,0.4222860390179778,0.013197171606163875,258.64666666666665,7.548188892413567
14,0.4880652394870867,0.4654518211714378,0.4325985337499393,0.01109899540974091,258.81333333333333,6.698643312061198
15,0.4915253644331544,0.46932035041475423,0.4401642752348457,0.011458676689488276,259.0733333333333,7.014363042278956
16,0.4915253644331544,0.4702949528845568,0.42562701209506565,0.012863159397047302,259.22,6.53388092943237
17,0.4915253644331544,0.47097417845437933,0.43807387044055934,0.011429554273216022,259.67333333333335,5.948105207169386
18,0.4915253644331544,0.4727990899841842,0.43035359607704526,0.011864906044575881,259.05333333333334,5.019676837761128
19,0.49539841436803195,0.47438327151162224,0.42929266846710057,0.012085002266054095,257.87333333333333,5.109855401302686
20,0.4977411138455546,0.47614441333576923,0.45167166586549506,0.011103750177573027,258.0733333333333,4.935715641007785
21,0.4986068704426739,0.478490151033032,0.44655348513613957,0.01171940438187905,257.44,4.866867575761642
22,0.5042767947022799,0.4814295110860506,0.44444719047790987,0.011380740427718194,257.0466666666667,4.8680409018641395
23,0.5066387482723936,0.4862613854474726,0.4514641171635573,0.010450290971097398,255.79333333333332,5.00971944213335
24,0.5102206913124243,0.4870751664608643,0.46053678265852804,0.01045169450944805,256.1066666666667,4.611791649914622
25,0.5102206913124243,0.4905654505806761,0.4521946541423191,0.009865981622817772,255.94666666666666,4.875498834877195
26,0.5108753196338814,0.4921583302739259,0.4676297176394737,0.009958732659279738,256.7133333333333,5.19914950309717
27,0.5108753196338814,0.4942870064193926,0.4444100754355656,0.010678593111027068,257.1933333333333,4.76612584344513
28,0.5141139373968441,0.49555293984513926,0.4647688497670549,0.01091737396793577,257.41333333333336,4.682145756903441
29,0.5141139373968441,0.49953716327983366,0.4745268911951902,0.008707429993468995,256.98,4.530592308591302
30,0.5222615384792192,0.5020544527570626,0.47230241145564467,0.009199987492006631,257.1666666666667,4.107581067029867
31,0.5222615384792192,0.5032017231374059,0.45162203836813203,0.010019829179785224,258.3933333333333,3.993155254793994
32,0.5222615384792192,0.5043195001421774,0.47174714946042384,0.009447802306507817,259.0733333333333,4.115169768335472
33,0.5222615384792192,0.5046347816549337,0.4726374879581902,0.009987145244544552,259.4066666666667,3.8886101487406632
34,0.5222615384792192,0.5073695975643221,0.47500200337303883,0.009197325386325316,259.5733333333333,3.98722404130437
35,0.5242018160500727,0.5080471249591628,0.47699113467173826,0.010025205555175724,259.74,3.5840944928019596
36,0.527773049496949,0.5099388877745726,0.4840521990010755,0.00925473301275511,260.14,3.4699279531425438
37,0.5290912334974103,0.511731181745969,0.47711189279574,0.010246065764962505,260.18666666666667,3.038391387267648
38,0.5290912334974103,0.5164947109749682,0.4835446919646021,0.00868181484229131,260.0933333333333,2.90596321763064
39,0.5290912334974103,0.5186341892848249,0.48938670359531056,0.007812898723938333,260.02666666666664,2.558506508796793
40,0.5315023391514486,0.5206009712260199,0.4702612879654338,0.008651418488669852,258.84,2.732715377300266
41,0.5325748419060045,0.5218352139365035,0.487790517415794,0.008247902802809041,258.6,1.952775802116908
42,0.5325748419060045,0.5223084501079445,0.47561716615687766,0.009318350363947655,258.43333333333334,1.678954701261737
43,0.5347226759178246,0.52371733890692,0.4720580022406205,0.007993994619235025,257.99333333333334,1.842088187055356
44,0.5347226759178246,0.5236999340167826,0.48011743951561614,0.008266838316932246,258.04,1.7696704024572862
45,0.5378753261329481,0.5228069035602794,0.4546283994624458,0.011199051061613242,258.08,1.6912322923438596
46,0.5378753261329481,0.5251283281291912,0.49278051806724454,0.008092195913174774,258.14666666666665,1.7678109501741284
47,0.5378753261329481,0.5256233085610295,0.49140248697549876,0.00806861597832606,258.44666666666666,1.7982831318294188
48,0.5413000337358739,0.525758488823499,0.4716705525505624,0.010447054222780212,258.78,1.8361917111238684
49,0.5413000337358739,0.5290498860196048,0.5000734936940592,0.0073023924269191185,258.6066666666667,1.6161545580653962
50,0.5413000337358739,0.5287823287475502,0.46378676900820326,0.011653608992000308,258.6666666666667,1.9821424996424672
51,0.5413000337358739,0.529356118035322,0.47996170147846834,0.009416344356038508,258.46,2.0868796483426317
52,0.5413000337358739,0.5310366228298484,0.4871264521008012,0.009359535570475357,258.32,2.2958513308429476
53,0.5473552597859371,0.5319687343082203,0.4864701932993182,0.009206526958216275,258.46,2.429348335116505
54,0.5473552597859371,0.5343519777742142,0.48317175723167394,0.008648452591681751,258.82666666666665,2.1870731329539232
55,0.5473552597859371,0.5339661511073315,0.49603192549086417,0.010015795736033969,258.6933333333333,2.058953347914636
56,0.5473552597859371,0.5362199841037238,0.49760157743096034,0.008024408914079791,258.18,1.939312592990963
57,0.548242039321136,0.5370277262518135,0.5013389895909222,0.00800903166706027,257.8466666666667,1.7425524063536477
58,0.548242039321136,0.5372252865695398,0.5016645511476412,0.00903864674708829,257.44666666666666,1.8130514486785962
